,ticker,company_name,marketcap_display,sell_side_rating,quant_rating,authors_rating,eps_revisions_category,growth_category,momentum_category,profitability_category,value_category,dividend_yield,is_top_tated
119,GOGL,Golden Ocean Group Limited,2823573760,4.16667,4.822891566,3.66667,4,1,1,7,5,4.2462845,FALSE
120,EZPW,"EZCORP, Inc.",608348100,5,4.771084337,4.5,3,5,2,6,7,,FALSE
121,KEX,Kirby Corporation,6330325000,5,4.826506024,5,3,3,2,8,9,,FALSE
122,SLF,Sun Life Financial Inc.,30065256400,3.78571,4.855421687,3,3,1,8,4,8,4.3789086,FALSE
123,PNC,"The PNC Financial Services Group, Inc.",61291323000,3.66667,4.78313253,3,5,3,4,1,5,4.026497,FALSE
124,SCSC,"ScanSource, Inc.",1043819330,4,4.784337349,,2,9,3,6,2,,FALSE
125,BRK.A,Berkshire Hathaway Inc.,8.61927E+11,4,4.83253012,3.33333,5,5,5,1,7,,FALSE
126,AZZ,AZZ Inc.,1813356030,3.66667,4.808433735,3,1,5,2,6,9,0.94130677,FALSE
127,KALU,Kaiser Aluminum Corporation,1462349310,3,4.814457831,4,1,6,2,7,7,3.3532934,FALSE
128,WU,The Western Union Company,4428807200,2.75,4.818072289,4,2,9,6,3,3,7.181054,FALSE
129,KAR,"OPENLANE, Inc.",1889870080,3.71429,4.863855422,,3,4,4,8,1,,FALSE
130,YPF,YPF Sociedad Anónima,10803676200,3.09091,4.838554217,4,3,9,1,6,5,,FALSE
131,HVRRY,Hannover Rück SE,29994407900,3,4.785542169,,2,1,6,2,10,2.2210128,FALSE
132,UGP,Ultrapar Participações S.A.,5426530300,2.75,4.777108434,2,2,4,3,8,7,2.5904942,FALSE
133,DAL,"Delta Air Lines, Inc.",32278569000,4.6,4.781927711,3.85714,4,5,3,1,3,0.5997601,TRUE
134,OC,Owens Corning,14565232600,3.66667,4.804819277,3.5,2,5,3,2,7,1.3326987,FALSE
135,MLI,"Mueller Industries, Inc.",6371655700,3,4.81686747,3,2,4,3,2,6,1.1588519,FALSE
136,RGA,"Reinsurance Group of America, Incorporated",12559924200,4.36364,4.851807229,4,2,5,2,4,9,1.7546617,FALSE
137,CRH,CRH plc,52713132000,4.42105,4.831325301,4,3,5,3,2,9,2.5016203,FALSE
78,DESP,"Despegar.com, Corp.",804451070,4.33333,4.93373494,4.5,1,2,1,2,5,,TRUE
139,EPIX,ESSA Pharma Inc.,292856544,4.8,4.828915663,,3,8,2,5,4,,FALSE
140,MOG.A,Moog Inc.,5129985000,4.33333,4.760240964,4,2,5,2,8,11,0.67942405,FALSE
141,BASFY,BASF SE,46951977000,4.5,4.8,3.5,2,8,7,1,3,6.909573,FALSE
142,LRN,"Stride, Inc.",2819577090,4.2,4.786746988,4,1,6,2,6,7,,FALSE
143,KRO,"Kronos Worldwide, Inc.",1346966400,3,4.83373494,,1,3,3,10,2,6.4901795,FALSE
144,ACIW,"ACI Worldwide, Inc.",3621856770,4.625,4.801204819,,2,7,2,4,8,,FALSE
145,AGX,"Argan, Inc.",805446980,4.5,4.839759036,4.5,1,6,2,4,7,1.9061826,FALSE
146,TREE,"LendingTree, Inc.",624619140,4.125,4.853012048,2,5,4,1,11,11,,FALSE
147,CMRE,Costamare Inc.,1458800130,3.66667,4.844578313,4,1,4,4,9,1,3.7459283,FALSE
148,REPYY,"Repsol, S.A.",19175551000,2,4.877108434,3,1,7,7,4,3,5.249933,FALSE
149,MBC,"MasterBrand, Inc.",2124755580,4,4.854216867,4,1,9,2,5,3,,FALSE
150,NATR,"Nature's Sunshine Products, Inc.",363396064,5,4.792771084,,1,1,2,8,6,,FALSE
151,HEAR,Turtle Beach Corporation,307775232,4.33333,4.791566265,3,2,7,2,9,3,,FALSE
152,AGFMF,AGF Management Limited,378066592,4,4.773493976,,1,7,7,4,2,5.7291665,FALSE
153,ARREF,Amerigo Resources Ltd.,208496224,,4.803614458,,1,1,4,7,2,7.019078,FALSE
154,CODYY,Compagnie de Saint-Gobain S.A.,40115491000,3,4.861445783,,3,9,4,1,4,2.7299747,FALSE
155,HCMLY,Holcim AG,47555969000,3,4.797590361,3,2,8,4,1,7,3.0438287,FALSE
156,HDELY,Heidelberg Materials AG,18440632300,5,4.796385542,3,2,6,4,2,3,2.8121393,FALSE
560,DNOW,DNOW Inc.,1512539390,4.33333,4.165083135,4,6,6,3,5,2,,TRUE
158,IDEXY,"Industria de Diseño Textil, S.A.",1.4276E+11,4,4.810843373,4,2,5,3,1,10,3.2023835,FALSE
